This file contains receptor locations    
X_coordinate  Y_Coordinate  Z_Coordinate
----------------------------------------------    
  10    10  1.5
  10    20  1.5
  10    30  1.5
  10    40  1.5
  10    50  1.5
  10    75  1.5
  10   100  1.5
  20    10  1.5
  20    20  1.5
  20    30  1.5
  20    40  1.5
  20    50  1.5
  20    75  1.5
  20   100  1.5
  30    10  1.5
  30    20  1.5
  30    30  1.5
  30    40  1.5
  30    50  1.5
  30    75  1.5
  30   100  1.5
  40    10  1.5
  40    20  1.5
  40    30  1.5
  40    40  1.5
  40    50  1.5
  40    75  1.5
  40   100  1.5
  50    10  1.5
  50    20  1.5
  50    30  1.5
  50    40  1.5
  50    50  1.5
  50    75  1.5
  50   100  1.5
  75    10  1.5
  75    20  1.5
  75    30  1.5
  75    40  1.5
  75    50  1.5
  75    75  1.5
  75   100  1.5
 100    10  1.5
 100    20  1.5
 100    30  1.5
 100    40  1.5
 100    50  1.5
 100    75  1.5
 100   100  1.5
 -10    10  1.5
 -10    20  1.5
 -10    30  1.5
 -10    40  1.5
 -10    50  1.5
 -10    75  1.5
 -10   100  1.5
 -20    10  1.5
 -20    20  1.5
 -20    30  1.5
 -20    40  1.5
 -20    50  1.5
 -20    75  1.5
 -20   100  1.5
 -30    10  1.5
 -30    20  1.5
 -30    30  1.5
 -30    40  1.5
 -30    50  1.5
 -30    75  1.5
 -30   100  1.5
 -40    10  1.5
 -40    20  1.5
 -40    30  1.5
 -40    40  1.5
 -40    50  1.5
 -40    75  1.5
 -40   100  1.5
 -50    10  1.5
 -50    20  1.5
 -50    30  1.5
 -50    40  1.5
 -50    50  1.5
 -50    75  1.5
 -50   100  1.5
 -75    10  1.5
 -75    20  1.5
 -75    30  1.5
 -75    40  1.5
 -75    50  1.5
 -75    75  1.5
 -75   100  1.5
-100    10  1.5
-100    20  1.5
-100    30  1.5
-100    40  1.5
-100    50  1.5
-100    75  1.5
-100   100  1.5
  10   -10  1.5
  10   -20  1.5
  10   -30  1.5
  10   -40  1.5
  10   -50  1.5
  10   -75  1.5
  10  -100  1.5
  20   -10  1.5
  20   -20  1.5
  20   -30  1.5
  20   -40  1.5
  20   -50  1.5
  20   -75  1.5
  20  -100  1.5
  30   -10  1.5
  30   -20  1.5
  30   -30  1.5
  30   -40  1.5
  30   -50  1.5
  30   -75  1.5
  30  -100  1.5
  40   -10  1.5
  40   -20  1.5
  40   -30  1.5
  40   -40  1.5
  40   -50  1.5
  40   -75  1.5
  40  -100  1.5
  50   -10  1.5
  50   -20  1.5
  50   -30  1.5
  50   -40  1.5
  50   -50  1.5
  50   -75  1.5
  50  -100  1.5
  75   -10  1.5
  75   -20  1.5
  75   -30  1.5
  75   -40  1.5
  75   -50  1.5
  75   -75  1.5
  75  -100  1.5
 100   -10  1.5
 100   -20  1.5
 100   -30  1.5
 100   -40  1.5
 100   -50  1.5
 100   -75  1.5
 100  -100  1.5
 -10   -10  1.5
 -10   -20  1.5
 -10   -30  1.5
 -10   -40  1.5
 -10   -50  1.5
 -10   -75  1.5
 -10  -100  1.5
 -20   -10  1.5
 -20   -20  1.5
 -20   -30  1.5
 -20   -40  1.5
 -20   -50  1.5
 -20   -75  1.5
 -20  -100  1.5
 -30   -10  1.5
 -30   -20  1.5
 -30   -30  1.5
 -30   -40  1.5
 -30   -50  1.5
 -30   -75  1.5
 -30  -100  1.5
 -40   -10  1.5
 -40   -20  1.5
 -40   -30  1.5
 -40   -40  1.5
 -40   -50  1.5
 -40   -75  1.5
 -40  -100  1.5
 -50   -10  1.5
 -50   -20  1.5
 -50   -30  1.5
 -50   -40  1.5
 -50   -50  1.5
 -50   -75  1.5
 -50  -100  1.5
 -75   -10  1.5
 -75   -20  1.5
 -75   -30  1.5
 -75   -40  1.5
 -75   -50  1.5
 -75   -75  1.5
 -75  -100  1.5
-100   -10  1.5
-100   -20  1.5
-100   -30  1.5
-100   -40  1.5
-100   -50  1.5
-100   -75  1.5
-100  -100  1.5
